misra1,misra2,Poetry
سو بخت تیرہ سے ہوں پامالیٔ صبا میں,اس دن کے واسطے میں کیا خاک میں ملا تھا,سو بخت تیرہ سے ہوں پامالیٔ صبا میں اس دن کے واسطے میں کیا خاک میں ملا تھا
یہ سر گذشت میری افسانہ جو ہوئی ہے,مذکور اس کا اس کے کوچے میں جا بجا تھا,یہ سر گذشت میری افسانہ جو ہوئی ہے مذکور اس کا اس کے کوچے میں جا بجا تھا
سن کر کسی سے وہ بھی کہنے لگا تھا کچھ کچھ,بے درد کتنے بولے ہاں اس کو کیا ہوا تھا,سن کر کسی سے وہ بھی کہنے لگا تھا کچھ کچھ بے درد کتنے بولے ہاں اس کو کیا ہوا تھا
کہنے لگا کہ جانے میری بلا عزیزاں,احوال تھا کسی کا کچھ میں بھی سن لیا تھا,کہنے لگا کہ جانے میری بلا عزیزاں احوال تھا کسی کا کچھ میں بھی سن لیا تھا
آنکھیں مری کھلیں جب جی میرؔ کا گیا تب,دیکھے سے اس کو ورنہ میرا بھی جی جلا تھا,آنکھیں مری کھلیں جب جی میرؔ کا گیا تب دیکھے سے اس کو ورنہ میرا بھی جی جلا تھا
کل میرؔ نے کیا کیا کی مے کے لیے بیتابی,آخر کو گرو رکھا سجادۂ محرابی,کل میرؔ نے کیا کیا کی مے کے لیے بیتابی آخر کو گرو رکھا سجادۂ محرابی
جاگا ہے کہیں وہ بھی شب مرتکب مے ہو,یہ بات سجھاتی ہے ان آنکھوں کی بے خوابی,جاگا ہے کہیں وہ بھی شب مرتکب مے ہو یہ بات سجھاتی ہے ان آنکھوں کی بے خوابی
کیا شہر میں گنجائش مجھ بے سر و پا کو ہو,اب بڑھ گئے ہیں میرے اسباب کم اسبابی,کیا شہر میں گنجائش مجھ بے سر و پا کو ہو اب بڑھ گئے ہیں میرے اسباب کم اسبابی
دن رات مری چھاتی جلتی ہے محبت میں,کیا اور نہ تھی جاگا یہ آگ جو یاں دابی,دن رات مری چھاتی جلتی ہے محبت میں کیا اور نہ تھی جاگا یہ آگ جو یاں دابی
سو ملک پھرا لیکن پائی نہ وفا اک جا,جی کھا گئی ہے میرا اس جنس کی نایابی,سو ملک پھرا لیکن پائی نہ وفا اک جا جی کھا گئی ہے میرا اس جنس کی نایابی
خوں بستہ نہ کیوں پلکیں ہر لحظہ رہیں میری,جاتے نہیں آنکھوں سے لب یار کے عنابی,خوں بستہ نہ کیوں پلکیں ہر لحظہ رہیں میری جاتے نہیں آنکھوں سے لب یار کے عنابی
جنگل ہی ہرے تنہا رونے سے نہیں میرے,کوہوں کی کمر تک بھی جا پہنچی ہے سیرابی,جنگل ہی ہرے تنہا رونے سے نہیں میرے کوہوں کی کمر تک بھی جا پہنچی ہے سیرابی
تھے ماہ وشاں کل جو ان کوٹھوں پہ جلوے میں,ہے خاک سے آج ان کی ہر صحن میں مہتابی,تھے ماہ وشاں کل جو ان کوٹھوں پہ جلوے میں ہے خاک سے آج ان کی ہر صحن میں مہتابی
کل میرؔ جو یاں آیا طور اس کا بہت بھایا,وہ خشک لبی تس پر جامہ گلے میں آبی,کل میرؔ جو یاں آیا طور اس کا بہت بھایا وہ خشک لبی تس پر جامہ گلے میں آبی
رفتار و طور و طرز و روش کا یہ ڈھب ہے کیا,پہلے سلوک ایسے ہی تیرے تھے اب ہے کیا,رفتار و طور و طرز و روش کا یہ ڈھب ہے کیا پہلے سلوک ایسے ہی تیرے تھے اب ہے کیا
ہم دل زدہ نہ رکھتے تھے تم سے یہ چشم داشت,کرتے ہو قہر لطف کی جاگا غضب ہے کیا,ہم دل زدہ نہ رکھتے تھے تم سے یہ چشم داشت کرتے ہو قہر لطف کی جاگا غضب ہے کیا
عزت بھی بعد ذلت بسیار چھیڑ ہے,مجلس میں جب خفیف کیا پھر ادب ہے کیا,عزت بھی بعد ذلت بسیار چھیڑ ہے مجلس میں جب خفیف کیا پھر ادب ہے کیا
آئے ہم آپ میں تو نہ پہچانے پھر گئے,اس راہ صعب عشق میں یارو تعب ہے کیا,آئے ہم آپ میں تو نہ پہچانے پھر گئے اس راہ صعب عشق میں یارو تعب ہے کیا
حیراں ہیں اس دہن کے عزیزان خوردہ بیں,یہ بھی مقام ہائے تامل طلب ہے کیا,حیراں ہیں اس دہن کے عزیزان خوردہ بیں یہ بھی مقام ہائے تامل طلب ہے کیا
آنکھیں جو ہوویں تیری تو تو عین کر رکھے,عالم تمام گر وہ نہیں تو یہ سب ہے کیا,آنکھیں جو ہوویں تیری تو تو عین کر رکھے عالم تمام گر وہ نہیں تو یہ سب ہے کیا
اس آفتاب بن نہیں کچھ سوجھتا ہمیں,گر یہ ہی اپنے دن ہیں تو تاریک شب ہے کیا,اس آفتاب بن نہیں کچھ سوجھتا ہمیں گر یہ ہی اپنے دن ہیں تو تاریک شب ہے کیا
تم نے ہمیشہ جور و ستم بے سبب کیے,اپنا ہی ظرف تھا جو نہ پوچھا سبب ہے کیا,تم نے ہمیشہ جور و ستم بے سبب کیے اپنا ہی ظرف تھا جو نہ پوچھا سبب ہے کیا
کیوں کر تمہاری بات کرے کوئی اعتبار,ظاہر میں کیا کہو ہو سخن زیر لب ہے کیا,کیوں کر تمہاری بات کرے کوئی اعتبار ظاہر میں کیا کہو ہو سخن زیر لب ہے کیا
اس مہ بغیر میرؔ کا مرنا عجب ہوا,ہر چند مرگ عاشق مسکیں عجب ہے کیا,اس مہ بغیر میرؔ کا مرنا عجب ہوا ہر چند مرگ عاشق مسکیں عجب ہے کیا
جاں گداز اتنی کہاں آواز عود و چنگ ہے,دل کے سے نالوں کا ان پردوں میں کچھ آہنگ ہے,جاں گداز اتنی کہاں آواز عود و چنگ ہے دل کے سے نالوں کا ان پردوں میں کچھ آہنگ ہے
رو و خال و زلف ہی ہیں سنبل و سبزہ و گل,آنکھیں ہوں تو یہ چمن آئینۂ نیرنگ ہے,رو و خال و زلف ہی ہیں سنبل و سبزہ و گل آنکھیں ہوں تو یہ چمن آئینۂ نیرنگ ہے
بے ستوں کھودے سے کیا آخر ہوئے سب کار عشق,بعد ازاں اے کوہ کن سر ہے ترا اور سنگ ہے,بے ستوں کھودے سے کیا آخر ہوئے سب کار عشق بعد ازاں اے کوہ کن سر ہے ترا اور سنگ ہے
آہ ان خوش قامتوں کو کیونکے بر میں لائیے,جن کے ہاتھوں سے قیامت پر بھی عرصۂ تنگ ہے,آہ ان خوش قامتوں کو کیونکے بر میں لائیے جن کے ہاتھوں سے قیامت پر بھی عرصۂ تنگ ہے
عشق میں وہ گھر ہے اپنا جس میں سے مجنوں یہ ایک,نا خلف سارے قبیلے کا ہمارے ننگ ہے,عشق میں وہ گھر ہے اپنا جس میں سے مجنوں یہ ایک نا خلف سارے قبیلے کا ہمارے ننگ ہے
چشم کم سے دیکھ مت قمری تو اس خوش قد کو ٹک,آہ بھی سرد گلستاں شکست رنگ ہے,چشم کم سے دیکھ مت قمری تو اس خوش قد کو ٹک آہ بھی سرد گلستاں شکست رنگ ہے
ہم سے تو جایا نہیں جاتا کہ یکسر دل میں واں,دو قدم اس کی گلی کی راہ سو فرسنگ ہے,ہم سے تو جایا نہیں جاتا کہ یکسر دل میں واں دو قدم اس کی گلی کی راہ سو فرسنگ ہے
ایک بوسے پر تو کی ہے صلح پر اے زود رنج,تجھ کو مجھ کو اتنی اتنی بات اوپر جنگ ہے,ایک بوسے پر تو کی ہے صلح پر اے زود رنج تجھ کو مجھ کو اتنی اتنی بات اوپر جنگ ہے
پاؤں میں چوٹ آنے کے پیارے بہانے جانے دے,پیش رفت آگے ہمارے کب یہ عذر لنگ ہے,پاؤں میں چوٹ آنے کے پیارے بہانے جانے دے پیش رفت آگے ہمارے کب یہ عذر لنگ ہے
فکر کو نازک خیالوں کے کہاں پہنچے ہیں یار,ورنہ ہر مصرع یہاں معشوق شوخ و شنگ ہے,فکر کو نازک خیالوں کے کہاں پہنچے ہیں یار ورنہ ہر مصرع یہاں معشوق شوخ و شنگ ہے
سرسری کچھ سن لیا پھر واہ وا کر اٹھ گئے,شعر یہ کم فہم سمجھے ہیں خیال بنگ ہے,سرسری کچھ سن لیا پھر واہ وا کر اٹھ گئے شعر یہ کم فہم سمجھے ہیں خیال بنگ ہے
صبر بھی کریے بلا پر میرؔ صاحب جی کبھو,جب نہ تب رونا ہی کڑھنا یہ بھی کوئی ڈھنگ ہے,صبر بھی کریے بلا پر میرؔ صاحب جی کبھو جب نہ تب رونا ہی کڑھنا یہ بھی کوئی ڈھنگ ہے
یار عجب طرح نگہ کر گیا,دیکھنا وہ دل میں جگہ کر گیا,یار عجب طرح نگہ کر گیا دیکھنا وہ دل میں جگہ کر گیا
تنگ قبائی کا سماں یار کی,پیرہن غنچہ کو تہ کر گیا,تنگ قبائی کا سماں یار کی پیرہن غنچہ کو تہ کر گیا
جانا ہے اس بزم سے آیا تو کیا,کوئی گھڑی گو کہ تو رہ کر گیا,جانا ہے اس بزم سے آیا تو کیا کوئی گھڑی گو کہ تو رہ کر گیا
وصف خط و خال میں خوباں کے میرؔ,نامۂ اعمال سیہ کر گیا,وصف خط و خال میں خوباں کے میرؔ نامۂ اعمال سیہ کر گیا
دل کی طرف کچھ آہ سے دل کا لگاؤ ہے,ٹک آپ بھی تو آئیے یاں زور باؤ ہے,دل کی طرف کچھ آہ سے دل کا لگاؤ ہے ٹک آپ بھی تو آئیے یاں زور باؤ ہے
اٹھتا نہیں ہے ہاتھ ترا تیغ جور سے,ناحق کشی کہاں تئیں یہ کیا سبھاؤ ہے,اٹھتا نہیں ہے ہاتھ ترا تیغ جور سے ناحق کشی کہاں تئیں یہ کیا سبھاؤ ہے
باغ نظر ہے چشم کے منظر کا سب جہاں,ٹک ٹھہرو یاں تو جانو کہ کیسا دکھاؤ ہے,باغ نظر ہے چشم کے منظر کا سب جہاں ٹک ٹھہرو یاں تو جانو کہ کیسا دکھاؤ ہے
تقریب ہم نے ڈالی ہے اس سے جوئے کی اب,جو بن پڑے ہے ٹک تو ہمارا ہی داؤ ہے,تقریب ہم نے ڈالی ہے اس سے جوئے کی اب جو بن پڑے ہے ٹک تو ہمارا ہی داؤ ہے
ٹپکا کرے ہے آنکھ سے لوہو ہی روز و شب,چہرے پہ میرے چشم ہے یا کوئی گھاؤ ہے,ٹپکا کرے ہے آنکھ سے لوہو ہی روز و شب چہرے پہ میرے چشم ہے یا کوئی گھاؤ ہے
ضبط سرشک خونیں سے جی کیونکے شاد ہو,اب دل کی طرف لوہو کا سارا بہاؤ ہے,ضبط سرشک خونیں سے جی کیونکے شاد ہو اب دل کی طرف لوہو کا سارا بہاؤ ہے
اب سب کے روزگار کی صورت بگڑ گئی,لاکھوں میں ایک دو کا کہیں کچھ بناؤ ہے,اب سب کے روزگار کی صورت بگڑ گئی لاکھوں میں ایک دو کا کہیں کچھ بناؤ ہے
چھاتی کے میری سارے نمودار ہیں یہ زخم,پردہ رہا ہے کون سا اب کیا چھپاؤ ہے,چھاتی کے میری سارے نمودار ہیں یہ زخم پردہ رہا ہے کون سا اب کیا چھپاؤ ہے
عاشق کہیں جو ہو گے تو جانو گے قدر میرؔ,اب تو کسی کے چاہنے کا تم کو چاؤ ہے,عاشق کہیں جو ہو گے تو جانو گے قدر میرؔ اب تو کسی کے چاہنے کا تم کو چاؤ ہے
کلی کہتے ہیں اس کا سا دہن ہے,سنا کریے کہ یہ بھی اک سخن ہے,کلی کہتے ہیں اس کا سا دہن ہے سنا کریے کہ یہ بھی اک سخن ہے
ٹپکتے درد ہیں آنسو کی جاگا,الٰہی چشم یا زخم کہن ہے,ٹپکتے درد ہیں آنسو کی جاگا الٰہی چشم یا زخم کہن ہے
خبر لے پیر کنعاں کی کہ کچھ آج,نپٹ آوارہ بوئے پیرہن ہے,خبر لے پیر کنعاں کی کہ کچھ آج نپٹ آوارہ بوئے پیرہن ہے
نہیں دامن میں لالہ بے ستوں کے,کوئی دل داغ خون کوہ کن ہے,نہیں دامن میں لالہ بے ستوں کے کوئی دل داغ خون کوہ کن ہے
شہادت گاہ ہے باغ زمانہ,کہ ہر گل اس میں اک خونیں کفن ہے,شہادت گاہ ہے باغ زمانہ کہ ہر گل اس میں اک خونیں کفن ہے
کروں کیا حسرت گل کو وگرنہ,دل پر داغ بھی اپنا چمن ہے,کروں کیا حسرت گل کو وگرنہ دل پر داغ بھی اپنا چمن ہے
جو دے آرام ٹک آوارگی میرؔ,تو شام غربت اک صبح وطن ہے,جو دے آرام ٹک آوارگی میرؔ تو شام غربت اک صبح وطن ہے
جنس گراں کو تجھ سے جو لوگ چاہتے ہیں,وے روگ اپنے جی کو ناحق بساہتے ہیں,جنس گراں کو تجھ سے جو لوگ چاہتے ہیں وے روگ اپنے جی کو ناحق بساہتے ہیں
اس میکدے میں ہم بھی مدت سے ہیں ولیکن,خمیازہ کھینچتے ہیں ہر دم جماہتے ہیں,اس میکدے میں ہم بھی مدت سے ہیں ولیکن خمیازہ کھینچتے ہیں ہر دم جماہتے ہیں
ناموس دوستی سے گردن بندھی ہے اپنی,جیتے ہیں جب تلک ہم تب تک نباہتے ہیں,ناموس دوستی سے گردن بندھی ہے اپنی جیتے ہیں جب تلک ہم تب تک نباہتے ہیں
سہل اس قدر نہیں ہے مشکل پسندی میری,جو تجھ کو دیکھتے ہیں مجھ کو سراہتے ہیں,سہل اس قدر نہیں ہے مشکل پسندی میری جو تجھ کو دیکھتے ہیں مجھ کو سراہتے ہیں
وے دن گئے کہ راتیں نالوں سے کاٹتے تھے,بے ڈول میرؔ صاحب اب کچھ کراہتے ہیں,وے دن گئے کہ راتیں نالوں سے کاٹتے تھے بے ڈول میرؔ صاحب اب کچھ کراہتے ہیں
کیا طرح ہے آشنا گاہے گہے نا آشنا,یا تو بیگانے ہی رہیے ہوجیے یا آشنا,کیا طرح ہے آشنا گاہے گہے نا آشنا یا تو بیگانے ہی رہیے ہوجیے یا آشنا
پائمال صد جفا نا حق نہ ہو اے عندلیب,سبزۂ بیگانہ بھی تھا اس چمن کا آشنا,پائمال صد جفا نا حق نہ ہو اے عندلیب سبزۂ بیگانہ بھی تھا اس چمن کا آشنا
کون سے یہ بحر خوبی کی پریشاں زلف ہے,آتی ہے آنکھوں میں میری موج دریا آشنا,کون سے یہ بحر خوبی کی پریشاں زلف ہے آتی ہے آنکھوں میں میری موج دریا آشنا
رونا ہی آتا ہے ہم کو دل ہوا جب سے جدا,جائے رونے ہی کی ہے جاوے جب ایسا آشنا,رونا ہی آتا ہے ہم کو دل ہوا جب سے جدا جائے رونے ہی کی ہے جاوے جب ایسا آشنا
نا سمجھ ہے تو جو میری قدر نئیں کرتا کہ شوخ,کم بہت ملتا ہے پھر دل خواہ اتنا آشنا,نا سمجھ ہے تو جو میری قدر نئیں کرتا کہ شوخ کم بہت ملتا ہے پھر دل خواہ اتنا آشنا
بلبلیں پائیز میں کہتی تھیں ہوتا کاشکے,یک مژہ رنگ فراری اس چمن کا آشنا,بلبلیں پائیز میں کہتی تھیں ہوتا کاشکے یک مژہ رنگ فراری اس چمن کا آشنا
کو گل و لالہ کہاں سنبل سمن ہم نسترن,خاک سے یکساں ہوئے ہیں ہائے کیا کیا آشنا,کو گل و لالہ کہاں سنبل سمن ہم نسترن خاک سے یکساں ہوئے ہیں ہائے کیا کیا آشنا
کیا کروں کس سے کہوں اتنا ہی بیگانہ ہے یار,سارے عالم میں نہیں پاتے کسی کا آشنا,کیا کروں کس سے کہوں اتنا ہی بیگانہ ہے یار سارے عالم میں نہیں پاتے کسی کا آشنا
جس سے میں چاہی وساطت ان نے یہ مجھ سے کہا,ہم تو کہتے گر میاں ہم سے وہ ہوتا آشنا,جس سے میں چاہی وساطت ان نے یہ مجھ سے کہا ہم تو کہتے گر میاں ہم سے وہ ہوتا آشنا
یوں سنا جا ہے کہ کرتا ہے سفر کا عزم جزم,ساتھ اب بیگانہ وضعوں کے ہمارا آشنا,یوں سنا جا ہے کہ کرتا ہے سفر کا عزم جزم ساتھ اب بیگانہ وضعوں کے ہمارا آشنا
شعر صائبؔ کا مناسب ہے ہماری اور سے,سامنے اس کے پڑھے گر یہ کوئی جا آشنا,شعر صائبؔ کا مناسب ہے ہماری اور سے سامنے اس کے پڑھے گر یہ کوئی جا آشنا
تا بجاں ما ہمرہیم و تا بہ منزل دیگراں,فرق باشد جان ما از آشنا تا آشنا,تا بجاں ما ہمرہیم و تا بہ منزل دیگراں فرق باشد جان ما از آشنا تا آشنا
داغ ہے تاباں علیہ الرحمہ کا چھاتی پہ میرؔ,ہو نجات اس کو بیچارہ ہم سے بھی تھا آشنا,داغ ہے تاباں علیہ الرحمہ کا چھاتی پہ میرؔ ہو نجات اس کو بیچارہ ہم سے بھی تھا آشنا
جز جرم عشق کوئی بھی ثابت کیا گناہ,ناحق ہماری جان لی اچھے ہو واہ واہ,جز جرم عشق کوئی بھی ثابت کیا گناہ ناحق ہماری جان لی اچھے ہو واہ واہ
اب کیسا چاک چاک ہو دل اس کے ہجر میں,گتھواں تو لخت دل سے نکلتی ہے میری آہ,اب کیسا چاک چاک ہو دل اس کے ہجر میں گتھواں تو لخت دل سے نکلتی ہے میری آہ
شام شب وصال ہوئی یاں کہ اس طرف,ہونے لگا طلوع ہی خورشید رو سیاہ,شام شب وصال ہوئی یاں کہ اس طرف ہونے لگا طلوع ہی خورشید رو سیاہ
گزرا میں اس سلوک سے دیکھا نہ کر مجھے,برچھی سی لاگ جا ہے جگر میں تری نگاہ,گزرا میں اس سلوک سے دیکھا نہ کر مجھے برچھی سی لاگ جا ہے جگر میں تری نگاہ
دامان و جیب چاک خرابی و خستگی,ان سے ترے فراق میں ہم نے کیا نباہ,دامان و جیب چاک خرابی و خستگی ان سے ترے فراق میں ہم نے کیا نباہ
بیتابیوں کو سونپ نہ دینا کہیں مجھے,اے صبر میں نے آن کے لی ہے تری پناہ,بیتابیوں کو سونپ نہ دینا کہیں مجھے اے صبر میں نے آن کے لی ہے تری پناہ
خوں بستہ بارے رہنے لگی اب تو یہ مژہ,آنسو کی بوند جس سے ٹپکتی تھی گاہ گاہ,خوں بستہ بارے رہنے لگی اب تو یہ مژہ آنسو کی بوند جس سے ٹپکتی تھی گاہ گاہ
گل سے شگفتہ داغ دکھاتا ہوں تیرے تیں,گر موافقت کرے ہے تنک مجھ سے سال و ماہ,گل سے شگفتہ داغ دکھاتا ہوں تیرے تیں گر موافقت کرے ہے تنک مجھ سے سال و ماہ
گر منع مجھ کو کرتے ہیں تیری گلی سے لوگ,کیوں کر نہ جاؤں مجھ کو تو مرنا ہے خوا مخواہ,گر منع مجھ کو کرتے ہیں تیری گلی سے لوگ کیوں کر نہ جاؤں مجھ کو تو مرنا ہے خوا مخواہ
ناحق الجھ پڑا ہے یہ مجھ سے طریق عشق,جاتا تھا میرؔ میں تو چلا اپنی راہ راہ,ناحق الجھ پڑا ہے یہ مجھ سے طریق عشق جاتا تھا میرؔ میں تو چلا اپنی راہ راہ
جو میں نہ ہوں تو کرو ترک ناز کرنے کو,کوئی تو چاہیے جی بھی نیاز کرنے کو,جو میں نہ ہوں تو کرو ترک ناز کرنے کو کوئی تو چاہیے جی بھی نیاز کرنے کو
نہ دیکھو غنچۂ نرگس کی اور کھلتے میں,جو دیکھو اس کی مژہ نیم باز کرنے کو,نہ دیکھو غنچۂ نرگس کی اور کھلتے میں جو دیکھو اس کی مژہ نیم باز کرنے کو
نہ سوئے نیند بھر اس تنگنا میں تا نہ موئے,کہ آہ جا نہ تھی پا کے دراز کرنے کو,نہ سوئے نیند بھر اس تنگنا میں تا نہ موئے کہ آہ جا نہ تھی پا کے دراز کرنے کو
جو بے دماغی یہی ہے تو بن چکی اپنی,دماغ چاہیے ہر اک سے ساز کرنے کو,جو بے دماغی یہی ہے تو بن چکی اپنی دماغ چاہیے ہر اک سے ساز کرنے کو
وہ گرم ناز ہو تو خلق پر ترحم کر,پکارے آپ اجل احتراز کرنے کو,وہ گرم ناز ہو تو خلق پر ترحم کر پکارے آپ اجل احتراز کرنے کو
جو آنسو آویں تو پی جا کہ تا رہے پردہ,بلا ہے چشم تر افشائے راز کرنے کو,جو آنسو آویں تو پی جا کہ تا رہے پردہ بلا ہے چشم تر افشائے راز کرنے کو
سمند ناز سے تیرے بہت ہے عرصہ تنگ,تنک تو ترک کر اس ترک تاز کرنے کو,سمند ناز سے تیرے بہت ہے عرصہ تنگ تنک تو ترک کر اس ترک تاز کرنے کو
بسان زر ہے مرا جسم زار سارا زرد,اثر تمام ہے دل کے گداز کرنے کو,بسان زر ہے مرا جسم زار سارا زرد اثر تمام ہے دل کے گداز کرنے کو
ہنوز لڑکے ہو تم قدر میری کیا جانو,شعور چاہیے ہے امتیاز کرنے کو,ہنوز لڑکے ہو تم قدر میری کیا جانو شعور چاہیے ہے امتیاز کرنے کو
اگرچہ گل بھی نمود اس کے رنگ کرتا ہے,ولیک چاہیے ہے منہ بھی ناز کرنے کو,اگرچہ گل بھی نمود اس کے رنگ کرتا ہے ولیک چاہیے ہے منہ بھی ناز کرنے کو
زیادہ حد سے تھی تابوت میرؔ پر کثرت,ہوا نہ وقت مساعد نماز کرنے کو,زیادہ حد سے تھی تابوت میرؔ پر کثرت ہوا نہ وقت مساعد نماز کرنے کو
اب ضعف سے ڈھہتا ہے بیتابی شتابی کی,اس دل کے تڑپنے نے کیا خانہ خرابی کی,اب ضعف سے ڈھہتا ہے بیتابی شتابی کی اس دل کے تڑپنے نے کیا خانہ خرابی کی
ان درس گہوں میں وہ آیا نہ نظر ہم کو,کیا نقل کروں خوبی اس چہرہ کتابی کی,ان درس گہوں میں وہ آیا نہ نظر ہم کو کیا نقل کروں خوبی اس چہرہ کتابی کی
بھنتے ہیں دل اک جانب سکتے ہیں جگر یکسو,ہے مجلس مشتاقاں دکان کبابی کی,بھنتے ہیں دل اک جانب سکتے ہیں جگر یکسو ہے مجلس مشتاقاں دکان کبابی کی
تلخ اس لب میگوں سے سب سنتے ہیں کس خاطر,تہہ دار نہیں ہوتی گفتار شرابی کی,تلخ اس لب میگوں سے سب سنتے ہیں کس خاطر تہہ دار نہیں ہوتی گفتار شرابی کی
یک بو کشی بلبل ہے موجب صد مستی,پر زور ہے کیا دارو غنچے کی گلابی کی,یک بو کشی بلبل ہے موجب صد مستی پر زور ہے کیا دارو غنچے کی گلابی کی
اب سوز محبت سے سارے جو پھپھولے ہیں,ہے شکل مرے دل کی سب شیشہ حبابی کی,اب سوز محبت سے سارے جو پھپھولے ہیں ہے شکل مرے دل کی سب شیشہ حبابی کی
نش مردہ مرے منہ سے یاں حرف نہیں نکلا,جو بات کہ میں نے کی سو میرؔ حسابی کی,نش مردہ مرے منہ سے یاں حرف نہیں نکلا جو بات کہ میں نے کی سو میرؔ حسابی کی
نقش بیٹھے ہے کہاں خواہش آزادی کا,ننگ ہے نام رہائی تری صیادی کا,نقش بیٹھے ہے کہاں خواہش آزادی کا ننگ ہے نام رہائی تری صیادی کا
داد دے ورنہ ابھی جان پہ کھیلوں ہوں میں,دل جلانا نہیں دیکھا کسی فریادی کا,داد دے ورنہ ابھی جان پہ کھیلوں ہوں میں دل جلانا نہیں دیکھا کسی فریادی کا
تو نے تلوار رکھی سر رکھا میں بندہ ہوں,اپنی تسلیم کا بھی اور تری جلادی کا,تو نے تلوار رکھی سر رکھا میں بندہ ہوں اپنی تسلیم کا بھی اور تری جلادی کا
شہر کی سی رہی رونق اسی کے جیتے جی,مر گیا قیس جو تھا خانہ خدا وادی کا,شہر کی سی رہی رونق اسی کے جیتے جی مر گیا قیس جو تھا خانہ خدا وادی کا
شیخ کیا صورتیں رہتی تھیں بھلا جب تھا دیر,رو بہ ویرانی ہو اس کعبے کی آبادی کا,شیخ کیا صورتیں رہتی تھیں بھلا جب تھا دیر رو بہ ویرانی ہو اس کعبے کی آبادی کا
ریختہ رتبے کو پہنچایا ہوا اس کا ہے,معتقد کون نہیں میرؔ کی استادی کا,ریختہ رتبے کو پہنچایا ہوا اس کا ہے معتقد کون نہیں میرؔ کی استادی کا
جب سے خط ہے سیاہ خال کی تھانگ,تب سے لٹتی ہے ہند چاروں دانگ,جب سے خط ہے سیاہ خال کی تھانگ تب سے لٹتی ہے ہند چاروں دانگ
بات عمل کی چلی ہی جاتی ہے,ہے مگر اوج بن عنق کی ٹانگ,بات عمل کی چلی ہی جاتی ہے ہے مگر اوج بن عنق کی ٹانگ
بن جو کچھ بن سکے جوانی میں,رات تو تھوڑی ہے بہت ہے سانگ,بن جو کچھ بن سکے جوانی میں رات تو تھوڑی ہے بہت ہے سانگ
عشق کا شور کوئی چھپتا ہے,نالۂ عندلیب ہے گلبانگ,عشق کا شور کوئی چھپتا ہے نالۂ عندلیب ہے گلبانگ
اس ذقن میں بھی سبزی ہے خط کی,دیکھو جیدھر کنوئیں پڑی ہے بھانگ,اس ذقن میں بھی سبزی ہے خط کی دیکھو جیدھر کنوئیں پڑی ہے بھانگ
کس طرح ان سے کوئی گرم ملے,سیم تن پگھلے جاتے ہیں جوں رانگ,کس طرح ان سے کوئی گرم ملے سیم تن پگھلے جاتے ہیں جوں رانگ
چلی جاتی ہے حسب قدر بلند,دور تک اس پہاڑ کی ہے ڈانگ,چلی جاتی ہے حسب قدر بلند دور تک اس پہاڑ کی ہے ڈانگ
تفرہ باطل تھا طور پر اپنے,ورنہ جاتے یہ دوڑ ہم بھی پھلانگ,تفرہ باطل تھا طور پر اپنے ورنہ جاتے یہ دوڑ ہم بھی پھلانگ
میں نے کیا اس غزل کو سہل کیا,قافیے ہی تھے اس کے اوٹ پٹانگ,میں نے کیا اس غزل کو سہل کیا قافیے ہی تھے اس کے اوٹ پٹانگ
میرؔ بندوں سے کام کب نکلا,مانگنا ہے جو کچھ خدا سے مانگ,میرؔ بندوں سے کام کب نکلا مانگنا ہے جو کچھ خدا سے مانگ
یہ چشم آئینہ دار رو تھی کسو کی,نظر اس طرف بھی کبھو تھی کسو کی,یہ چشم آئینہ دار رو تھی کسو کی نظر اس طرف بھی کبھو تھی کسو کی
سحر پائے گل بے خودی ہم کو آئی,کہ اس سست پیماں میں بو تھی کسو کی,سحر پائے گل بے خودی ہم کو آئی کہ اس سست پیماں میں بو تھی کسو کی
یہ سرگشتہ جب تک رہا اس چمن میں,برنگ صبا جستجو تھی کسو کی,یہ سرگشتہ جب تک رہا اس چمن میں برنگ صبا جستجو تھی کسو کی
نہ ٹھہری ٹک اک جان بر لب رسیدہ,ہمیں مدعا گفتگو تھی کسو کی,نہ ٹھہری ٹک اک جان بر لب رسیدہ ہمیں مدعا گفتگو تھی کسو کی
جلایا شب اک شعلۂ دل نے ہم کو,کہ اس تند سرکش میں خو تھی کسو کی,جلایا شب اک شعلۂ دل نے ہم کو کہ اس تند سرکش میں خو تھی کسو کی
نہ تھے تجھ سے نازک میانان گلشن,بہت تو کمر جیسے مو تھی کسو کی,نہ تھے تجھ سے نازک میانان گلشن بہت تو کمر جیسے مو تھی کسو کی
دم مرگ دشوار دی جان ان نے,مگر میرؔ کو آرزو تھی کسو کی,دم مرگ دشوار دی جان ان نے مگر میرؔ کو آرزو تھی کسو کی
کہنا ترے منہ پر تو نپٹ بے ادبی ہے,زاہد جو صفت تجھ میں ہے سوزن جلبی ہے,کہنا ترے منہ پر تو نپٹ بے ادبی ہے زاہد جو صفت تجھ میں ہے سوزن جلبی ہے
اس دشت میں اے سیل سنبھل ہی کے قدم رکھ,ہر سمت کو یاں دفن مری تشنہ لبی ہے,اس دشت میں اے سیل سنبھل ہی کے قدم رکھ ہر سمت کو یاں دفن مری تشنہ لبی ہے
ہر اک سے کہا نیند میں پر کوئی نہ سمجھا,شاید کہ مرے حال کا قصہ عربی ہے,ہر اک سے کہا نیند میں پر کوئی نہ سمجھا شاید کہ مرے حال کا قصہ عربی ہے
